SUBCLASSE|DENOMINACAO|DESCRICAO|ITEM|SUBITEM|ALIQUOTA|IDCNAE 
8720499|ATIVIDADES DE ASSISTENCIA PSICOSSOCIAL E A SAUDE A PORTADORES DE DISTURBIOS PSIQUICOS, DEFICIENCIA MENTAL E DEPENDENCIA QUIMICA NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS DE REABILITAÇÃO DE DEPENDENTES QUÍMICOS|4|3|2|9168
8610102|ATIVIDADES DE ATENDIMENTO EM PRONTO-SOCORRO E UNIDADES HOSPITALARES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE PRONTO-SOCORRO|4|3|2|9167
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS HOSPITALARES, DE CASA DE SAÚDE OU MATERNIDADE|4|3|2|9166
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE SANATÓRIOS|4|3|2|9165
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE MANICÔMIO|4|3|2|9164
8640203|SERVICOS DE DIALISE E NEFROLOGIA|SERVIÇOS DE DIÁLISE|4|3|2|9163
8630506|SERVICOS DE VACINACAO E IMUNIZACAO HUMANA|SERVIÇOS DE VACINAÇÃO E IMUNIZAÇÃO HUMANA|4|3|2|9162
8650099|ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS DE INSTRUMENTAÇÃO CIRÚRGICA|4|4|2|9169
8690999|OUTRAS ATIVIDADES DE ATENCAO A SAUDE HUMANA NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS DE INSTRUMENTAÇÃO CIRÚRGICA|4|4|2|9170
8690901|ATIVIDADES DE PRATICAS INTEGRATIVAS E COMPLEMENTARES EM SAUDE HUMANA|SERVIÇOS DE ACUPUNTURA|4|5|2|9171
8650001|ATIVIDADES DE ENFERMAGEM|SERVIÇOS DE ENFERMAGEM|4|6|2|9172
8690999|OUTRAS ATIVIDADES DE ATENCAO A SAUDE HUMANA NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS DE ESTERELIZAÇÃO|4|6|2|9173
8650099|ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS FARMACÊUTICOS|4|7|2|9174
8650003|ATIVIDADES DE PSICOLOGIA E PSICANALISE|SERVIÇOS FARMACÊUTICOS|4|7|2|9175
8650006|ATIVIDADES DE FONOAUDIOLOGIA|SERVIÇOS DE REABILITAÇAO DA FALA OU AUDIÇÃO (CLÍNICA)|4|8|2|9176
8650004|ATIVIDADES DE FISIOTERAPIA|SERVIÇOS DE FISIOTERAPIA|4|8|2|9183
8650006|ATIVIDADES DE FONOAUDIOLOGIA|SERVIÇOS DE FONOAUDIOLOGIA|4|8|2|9186
8650005|ATIVIDADES DE TERAPIA OCUPACIONAL|SERVIÇOS DE TERAPIA OCUPACIONAL|4|8|2|9185
8650003|ATIVIDADES DE PSICOLOGIA E PSICANALISE|SERVIÇOS DE PSICOTERAPIA|4|8|2|9184
8650007|ATIVIDADES DE TERAPIA DE NUTRICAO ENTERAL E PARENTERAL|SERVIÇOS DE TERAPIA DE NUTRIÇÃO ENTERAL E PARENTERAL.|4|9|2|9187
8690901|ATIVIDADES DE PRATICAS INTEGRATIVAS E COMPLEMENTARES EM SAUDE HUMANA|SERVIÇOS DE BIOTERAPIA|4|9|2|9188
8650007|ATIVIDADES DE TERAPIA DE NUTRICAO ENTERAL E PARENTERAL|SERVIÇOS DE NUTRIÇÃO|4|10|2|9112
8650002|ATIVIDADES DE PROFISSIONAIS DA NUTRICAO|SERVIÇOS DE NUTRIÇÃO|4|10|2|9113
8630503|ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS|SERVIÇOS DE OBSTETRÍCIA|4|11|2|9196
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE OBSTETRÍCIA|4|11|2|9199
8630501|ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE PROCEDIMENTOS CIRURGICOS|SERVIÇOS DE OBSTETRÍCIA|4|11|2|9198
8630502|ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES|SERVIÇOS DE OBSTETRÍCIA|4|11|2|9197
8630504|ATIVIDADE ODONTOLOGICA|SERVIÇOS ODONTOLÓGICOS|4|12|2|9200
8630504|ATIVIDADE ODONTOLOGICA|SERVIÇOS DE ASSISTÊNCIA ODONTOLÓGICA (SERVIÇOS ODONTOLÓGICOS)|4|12|2|9201
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE ORTÓPTICA|4|13|2|9202
8630503|ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS|SERVIÇOS DE ORTÓPTICA|4|13|2|9203
8630501|ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE PROCEDIMENTOS CIRURGICOS|SERVIÇOS DE ORTÓPTICA|4|13|2|9205
8630502|ATIVIDADE MEDICA AMBULATORIAL COM RECURSOS PARA REALIZACAO DE EXAMES COMPLEMENTARES|SERVIÇOS DE ORTÓPTICA|4|13|2|9204
3250706|SERVICOS DE PROTESE DENTARIA|SERVIÇOS DE PRÓTESES|4|14|2|9206
3250703|FABRICACAO DE APARELHOS E UTENSILIOS PARA CORRECAO DE DEFEITOS FISICOS E APARELHOS ORTOPEDICOS EM GERAL SOB ENCOMENDA|SERVIÇOS DE PRÓTESES|4|14|2|9207
8650003|ATIVIDADES DE PSICOLOGIA E PSICANALISE|SERVIÇOS DE PSICANÁLISE|4|15|2|9208
8650003|ATIVIDADES DE PSICOLOGIA E PSICANALISE|SERVIÇOS DE PSICOLOGIA|4|16|2|9209
8711502|INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS|SERVIÇOS DE ASILOS|4|17|2|9210
8511200|EDUCACAO INFANTIL - CRECHE|SERVIOS DE CRECHES|4|17|2|9211
8720499|ATIVIDADES DE ASSISTENCIA PSICOSSOCIAL E A SAUDE A PORTADORES DE DISTURBIOS PSIQUICOS, DEFICIENCIA MENTAL E DEPENDENCIA QUIMICA NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS DE REABILITAÇÃO DE DEPENDENTES QUÍMICOS COM ALOJAMENTO|4|17|2|9213
8711501|CLINICAS E RESIDENCIAS GERIATRICAS|SERVIÇOS DE CASA DE REPOUSO OU RECUPERAÇÃO|4|17|2|9214
8730102|ALBERGUES ASSISTENCIAIS|SERVIÇOS DE ALBERGUES ASSISTENCIAIS|4|17|2|9212
8640212|SERVICOS DE HEMOTERAPIA|SERVIÇOS DE BANCO DE SANGUE|4|19|2|9215
8640214|SERVICOS DE BANCOS DE CELULAS E TECIDOS HUMANOS|SERVIÇOS DE BANCO DE OLHOS|4|19|2|9218
8630507|ATIVIDADES DE REPRODUCAO HUMANA ASSISTIDA|SERVIÇOS DE BANCO DE ÓVULOS|4|19|2|9220
8690902|ATIVIDADES DE BANCOS DE LEITE HUMANO|SERVIÇOS DE BANCO DE LEITE|4|19|2|9216
8630507|ATIVIDADES DE REPRODUCAO HUMANA ASSISTIDA|SERVIÇOS DE BANCO DE SÊMEN|4|19|2|9217
8640214|SERVICOS DE BANCOS DE CELULAS E TECIDOS HUMANOS|SERVIÇOS DE BANCO DE PELE|4|19|2|9219
8610101|ATIVIDADES DE ATENDIMENTO HOSPITALAR, EXCETO PRONTO-SOCORRO E UNIDADES PARA ATENDIMENTO A URGENCIAS|SERVIÇOS DE REMOÇÕES DE ÓRGÃOS|4|20|2|9221
8621602|SERVICOS MOVEIS DE ATENDIMENTO A URGENCIAS, EXCETO POR UTI MOVEL|SERVIÇOS DE ASSISTÊNCIA, ATENDIMENTO OU TRATAMENTO MÓVEL|4|21|2|9222
8621601|UTI MOVEL|SERVIÇOS DE ASSISTÊNCIA, ATENDIMENTO OU TRATAMENTO MÓVEL|4|21|2|9223
6550200|PLANOS DE SAUDE|CONVÊNIO PARA PRESTAÇÃO DE ASSISTÊNCIA MÉDICA, HOSPITALAR E ODONTOLÓGICA|4|22|2|9224
6550200|PLANOS DE SAUDE|PLANOS DE MEDICINA DE GRUPO OU INDIVIDUAL|4|22|2|9225
6550200|PLANOS DE SAUDE|OUTROS PLANOS DE SAÚDE|4|23|2|9226
7490103|SERVICOS DE AGRONOMIA E DE CONSULTORIA AS ATIVIDADES AGRICOLAS E PECUARIAS|SERVIÇOS DE ASSESSORIA ÀS ATIVIDADES PECUÁRIAS|5|1|5|9227
7500100|ATIVIDADES VETERINARIAS|SERVIÇOS DE ASSESSORIA ÀS ATIVIDADES PECUÁRIAS|5|1|5|9228
7500100|ATIVIDADES VETERINARIAS|VETERINÁRIO (SERVIÇOS DE MEDICINA VETERINÁRIA)|5|1|5|9230
7500100|ATIVIDADES VETERINARIAS|SERVIÇOS DE MEDICINA VETERINÁRIA E ZOOTECNIA|5|1|5|9229
7500100|ATIVIDADES VETERINARIAS|SERVIÇOS AMBULATORIAIS - VETERINÁRIOS|5|2|5|9231
7500100|ATIVIDADES VETERINARIAS|SERVIÇOS VETERINÁRIOS (CLÍNICA VETERINÁRIA)|5|2|5|9234
7500100|ATIVIDADES VETERINARIAS|SERVIÇOS DE PRONTOS-SOCORROS - VETERINÁRIOS|5|2|5|9233
7500100|ATIVIDADES VETERINARIAS|SERVIÇOS DE HOSPITALARES VETERINÁRIOS|5|2|5|9232
0162801|SERVICO DE INSEMINACAO ARTIFICIAL EM ANIMAIS|SERVIÇOS DE INSEMINAÇÃO ARTIFICIAL OU FERTILIZAÇÃO IN VITRO|5|4|5|9235
8630507|ATIVIDADES DE REPRODUCAO HUMANA ASSISTIDA|SERVIÇOS DE INSEMINAÇÃO ARTIFICIAL OU FERTILIZAÇÃO IN VITRO|5|4|5|9236
0162899|ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS DE BANCO DE SANGUE E ÓRGÃOS DE ORIGEM ANIMAL|5|5|5|9237
0162899|ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS DE COLETA DE SANGUE, LEITE, TECIDOS, SÊMEN, ÓRGÃOS E MATERIAIS BIOLÓGICOS DE QUALQUER ESPÉCIE, DE ORIGEM ANIMAL|5|6|5|9238
7500100|ATIVIDADES VETERINARIAS|SERVIÇOS DE ATENDIMENTO, ASSISTÊNCIA OU  TRATAMENTO MÓVEL À ANIMAIS|5|7|5|9239
9609203|ALOJAMENTO, HIGIENE E EMBELEZAMENTO DE ANIMAIS|SERVIÇOS DE ADESTRAMENTO DE ANIMAIS|5|8|5|9240
9609203|ALOJAMENTO, HIGIENE E EMBELEZAMENTO DE ANIMAIS|SERVIÇOS DE GUARDA E ALOJAMENTO DE ANIMAIS|5|8|5|9243
8011102|SERVICOS DE ADESTRAMENTO DE CAES DE GUARDA|SERVIÇOS DE ADESTRAMENTO DE ANIMAIS|5|8|5|9241
9609203|ALOJAMENTO, HIGIENE E EMBELEZAMENTO DE ANIMAIS|SERVIÇOS DE EMBELEZAMENTO DE ANIMAIS|5|8|5|9242
9609203|ALOJAMENTO, HIGIENE E EMBELEZAMENTO DE ANIMAIS|SERVIÇOS DE TOSQUIA|5|8|5|9244
0162899|ATIVIDADES DE APOIO A PECUARIA NAO ESPECIFICADAS ANTERIORMENTE|SERVIÇOS TRATAMENTO DE ANIMAIS|5|8|5|9246
0162802|SERVICO DE TOSQUIAMENTO DE OVINOS|SERVIÇOS DE TOSQUIA|5|8|5|9245
6550200|PLANOS DE SAUDE|PLANOS DE ATENDIMENTO E ASSITÊNCIA MÉDICO VETERINÁRIA|5|9|5|9247
9602501|CABELEIREIROS|SERVIÇOS DE CABELEIREIROS|6|1|5|9248
9602501|CABELEIREIROS|SERVIÇOS DE BARBEARIA|6|1|5|9249
9602502|OUTRAS ATIVIDADES DE TRATAMENTO DE BELEZA|SERVIÇOS DE MANICURI E PEDICURI|6|1|5|9250
9602502|OUTRAS ATIVIDADES DE TRATAMENTO DE BELEZA|SERVIÇOS DE DEPILAÇÃO|6|2|5|9251
9602502|OUTRAS ATIVIDADES DE TRATAMENTO DE BELEZA|SERVIÇOS DE ESTÉTICA|6|2|5|9252
9602502|OUTRAS ATIVIDADES DE TRATAMENTO DE BELEZA|SERVIÇOS DE TRATAMENTO DE PELE|6|2|5|9253
9609201|CLINICAS DE ESTETICA E SIMILARES|SERVIÇOS DE SAUNA, DUCHAS, BANHO E MASSAGENS|6|3|5|9254
8592901|ENSINO DE DANCA|SERVIÇOS DE ACADEMIA DE DANÇA|6|4|5|9255
9313100|ATIVIDADES DE CONDICIONAMENTO FISICO|SERVIÇOS DE ACADEMIA DE GINÁSTICA|6|4|5|9258
8591100|ENSINO DE ESPORTES|SERVIÇOS DE ACADEMIA DE NATAÇÃO|6|4|5|9259
8591100|ENSINO DE ESPORTES|SERVIÇOS DE ACADEMIA DE ESPOSTES|6|4|5|9257
8591100|ENSINO DE ESPORTES|SERVIÇOS DE ACADEMIA DE ARTES MARCIAIS|6|4|5|9256
9313100|ATIVIDADES DE CONDICIONAMENTO FISICO|SERVIÇOS DE CONDICIONAMENTO FÍSICO CORPORAL|6|4|5|9260
9609201|CLINICAS DE ESTETICA E SIMILARES|SERVIÇOS DE ORIENTAÇÃO PARA EMAGRECIMENTO, SPA E CONGÊNERE|6|5|5|9107
9313100|ATIVIDADES DE CONDICIONAMENTO FISICO|SERVIÇOS DE ORIENTAÇÃO PARA EMAGRECIMENTO, SPA E CONGÊNERE|6|5|5|9108
7111100|SERVICOS DE ARQUITETURA|SERVIÇOS DE ELABORAÇÃO DE PROJETOS DE URBANIZAÇÃO OU LOTEAMENTO|7|1|3|9109
8130300|ATIVIDADES PAISAGISTICAS|SERVIÇOS DE PAISAGISMO|7|1|3|9192
7119702|ATIVIDADES DE ESTUDOS GEOLOGICOS|SERVIÇOS DE GEOLOGIA|7|1|3|9270
